Song ID,Token ID,Term Frequency,Inverse Document Frequency,TF-IDF
6,christmas,2,2.70805020110221,5.41610040220442
6,tree,1,2.0149030205422647,2.0149030205422647
7,tree,1,2.0149030205422647,2.0149030205422647
6,hurt,1,1.6094379124341003,1.6094379124341003
9,hurt,4,1.6094379124341003,6.437751649736401
10,hurt,1,1.6094379124341003,1.6094379124341003
6,mama,3,2.70805020110221,8.12415060330663
6,cd,1,2.70805020110221,2.70805020110221
6,stone,1,2.70805020110221,2.70805020110221
6,witness,1,2.70805020110221,2.70805020110221
7,kill,1,2.70805020110221,2.70805020110221
7,already,1,2.70805020110221,2.70805020110221
7,beatles,1,2.70805020110221,2.70805020110221
7,stack,1,2.70805020110221,2.70805020110221
7,goes,2,2.0149030205422647,4.029806041084529
12,goes,1,2.0149030205422647,2.0149030205422647
7,cop,1,2.70805020110221,2.70805020110221
7,ruby,1,2.70805020110221,2.70805020110221
7,ridin,1,2.70805020110221,2.70805020110221
7,deceitful,1,2.70805020110221,2.70805020110221
7,johnson,1,2.70805020110221,2.70805020110221
7,whatd,1,2.70805020110221,2.70805020110221
7,marilyn,1,2.70805020110221,2.70805020110221
7,far,2,1.6094379124341003,3.2188758248682006
12,far,3,1.6094379124341003,4.828313737302301
15,far,1,1.6094379124341003,1.6094379124341003
7,souls,1,2.70805020110221,2.70805020110221
7,macbeth,1,2.70805020110221,2.70805020110221
7,field,1,2.70805020110221,2.70805020110221
8,caught,8,2.70805020110221,21.66440160881768
11,hollow,2,2.70805020110221,5.41610040220442
12,fingers,1,2.70805020110221,2.70805020110221
13,room,1,2.70805020110221,2.70805020110221
13,bones,1,2.70805020110221,2.70805020110221
1,afraid,1,2.0149030205422647,2.0149030205422647
8,afraid,1,2.0149030205422647,2.0149030205422647
1,it,1,0.22314355131420976,0.22314355131420976
2,it,1,0.22314355131420976,0.22314355131420976
3,it,8,0.22314355131420976,1.7851484105136781
4,it,8,0.22314355131420976,1.7851484105136781
5,it,1,0.22314355131420976,0.22314355131420976
6,it,28,0.22314355131420976,6.248019436797874
7,it,26,0.22314355131420976,5.801732334169454
9,it,5,0.22314355131420976,1.1157177565710488
10,it,2,0.22314355131420976,0.44628710262841953
11,it,2,0.22314355131420976,0.44628710262841953
12,it,1,0.22314355131420976,0.22314355131420976
14,it,2,0.22314355131420976,0.44628710262841953
